autor,nazwa,opis,poziom_trudnosci,procedura_wykonania,kalorycznosc,obraz
4,Sernik na zimno,Delikatny sernik na zimno z galaretką owocową.,2,1. Przygotuj ciasto na spód. 2. Zmiksuj ser twarogowy z jogurtem i cukrem. 3. Wylej na ciasto i schłódź. 4. Przygotuj galaretkę i polej po serniku.,350,https://chocololo.pl/wp-content/uploads/2022/07/sernik-na-zimno-z-biala-czekolada-i-brzoskwiniami-5-1160x1740.jpg
3,Kaczka po pekińsku,"Klasyczna kaczka po chińsku, podawana z warzywami i sosem hoisin.",3,1. Wypiecz kaczkę w piekarniku z sosem hoisin. 2. Podawaj z warzywami i ryżem.,600,https://pysznosci-pl.wpcdn.pl/img/2023/05/kaczka-po-pekinsku.jpg
5,Tortilla z kurczakiem,Meksykańska tortilla z kurczakiem i warzywami.,2,1. Smaż kurczaka z przyprawami. 2. Dodaj warzywa i smaż. 3. Nałóż na placki tortilli i podawaj.,450,https://staticsmaker.iplsc.com/smaker_prod_2020_08_10/9f42b3bb2f7837c978986fabea5c7ca1-lg.jpg
3,Placek po wegiersku,Tradycyjny węgierski placek z mięsem i ziemniakami.,3,1. Podsmaż mięso z cebulą. 2. Dodaj pokrojone ziemniaki i gotuj. 3. Podawaj gorące.,500,https://s3.przepisy.pl/przepisy3ii/img/variants/800x0/placek_wegierski_sos_mysliwski957466.jpg
5,Lazania bolognese,"Warstwowa zapiekanka z makaronem, sosem mięsnym i serem.",3,"1. Warstwuj makaron, sos i ser. 2. Zapiekaj w piekarniku. 3. Podawaj gorące.",700,https://szymonczerwinski.com/wp-content/uploads/2019/07/autumn-lookbook-21-1024x576.png
5,Schabowy po warszawsku,Tradycyjny schabowy z kapustą zasmażaną.,2,1. Smaż schabowy na złoty kolor. 2. Podawaj z duszoną kapustą.,550,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSuULsiwdb6zSGKibYXq7ed-aVaB25CsQuCeQ&s
5,Koktajl owocowy,Świeży koktajl z sezonowych owoców.,1,1. Pokrój owoce. 2. Zmiksuj razem z jogurtem lub sokiem owocowym.,150,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQudlqXCEM9AtAkGfR4E5-yUytqfFaIVLGTbQ&s
5,Tarta szpinakowa,Tarta z nadzieniem ze szpinaku i sera mozzarella.,2,1. Przygotuj ciasto i rozwałkuj je. 2. Nałóż nadzienie ze szpinaku i sera. 3. Piecz w piekarniku. 4. Podawaj na ciepło.,400,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSb10zwXo7ZMIcbKL7SIv5TClCT09HYQAi3ZQ&s
4,Kebab domowy,Domowy kebab z mięsa mielonego i warzywami.,2,1. Przygotuj mięso mielone z przyprawami. 2. Uformuj kotleciki i smaż. 3. Podawaj z pieczywem i warzywami.,500,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTftwLwxGJGkVoxB3_fma1a8rTWqrcVuWdDpA&s
4,Pierogi ruskie,Klasyczne pierogi ruskie z nadzieniem z ziemniaków i sera.,3,1. Przygotuj ciasto na pierogi. 2. Nadziewaj farszem z ziemniaków i sera. 3. Gotuj w osolonej wodzie. 4. Podawaj z cebulką i śmietaną.,350,https://staticsmaker.iplsc.com/smaker_prod_2021_11_07/be7f440097a21d06ff7e5edc14bbae4d-content.jpg
5,Ratatouille,Klasyczne francuskie danie z warzyw gotowanych na wolnym ogniu.,2,1. Pokrój warzywa i podsmaż. 2. Gotuj na małym ogniu. 3. Dopraw ziołami.,250,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRsqwgIWu5NhClQHToVipJEc1rpXvZENuAEiA&s
5,Kotlety jajeczne,"Delikatne kotlety z jajek, idealne dla dzieci.",1,1. Ugotuj jajka na twardo. 2. Rozgnieć je z majonezem i bułką tarta. 3. Smaż na złoty kolor.,200,https://www.kwestiasmaku.com/sites/v123.kwestiasmaku.com/files/kotlety_jajeczne_01.jpg
3,Zupa krem z brokułów,Pyszna kremowa zupa z brokułów.,1,1. Obierz i pokrój brokuły. 2. Gotuj w bulionie warzywnym. 3. Zmiksuj na gładki krem. 4. Podawaj z grzankami.,300,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSAN64TJ1p6sirFE1S9PUE8GGIqI7l8fP56JA&s
3,Placek po węgiersku,"Tradycyjny węgierski placek z mięsem, papryką i ziemniakami.",3,1. Podsmaż mięso z cebulą i papryką. 2. Dodaj pokrojone ziemniaki i gotuj. 3. Podawaj gorące.,500,https://s3.przepisy.pl/przepisy3ii/img/variants/800x0/placek_wegierski_sos_mysliwski957466.jpg
3,Sushi California,"Klasyczne sushi z krabem, awokado i ogórkiem.",3,"1. Przygotuj ryż sushi. 2. Nałóż na nori ryż i farsz z kraba, awokado i ogórka. 3. Zwijaj i kroj na kawałki. 4. Podawaj z sosem sojowym i wasabi.",400,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT7vFj_yg3kDsgTB-sSmkBRFF4YOYNR3M9qow&s
